,Name,Special,Preferred Foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Stamina,Long Shots,Aggression,Interceptions,Positioning,Penalties,Standing Tackle,Sliding Tackle
0,Facundo Pellistri,1729,1,67.0,60.0,50.0,67.0,56.0,74.0,59.0,62.0,58.0,70.0,84.0,84.0,83.0,75.0,61.0,42.0,31.0,65.0,66.0,11.0,18.0
1,Edinson Cavani,2144,1,68.0,87.0,89.0,75.0,88.0,75.0,75.0,76.0,52.0,79.0,74.0,76.0,74.0,90.0,77.0,84.0,54.0,92.0,85.0,48.0,39.0
2,Giovanni Reyna,1671,1,54.0,59.0,42.0,73.0,59.0,77.0,74.0,64.0,50.0,75.0,78.0,76.0,84.0,53.0,58.0,43.0,31.0,56.0,50.0,23.0,24.0
3,Raphael Dias Belloli,2071,0,76.0,72.0,45.0,74.0,72.0,84.0,81.0,72.0,66.0,80.0,91.0,91.0,86.0,83.0,74.0,74.0,55.0,81.0,73.0,54.0,38.0
4,James Rodríguez,2099,0,90.0,84.0,62.0,83.0,90.0,86.0,89.0,86.0,81.0,90.0,55.0,52.0,78.0,65.0,92.0,60.0,55.0,80.0,81.0,41.0,44.0
5,Erling Haaland,2027,0,46.0,87.0,67.0,74.0,82.0,75.0,77.0,62.0,49.0,78.0,80.0,88.0,75.0,78.0,83.0,82.0,41.0,86.0,80.0,38.0,30.0
6,Marcus Edwards,1802,0,68.0,65.0,37.0,73.0,55.0,85.0,70.0,60.0,60.0,81.0,86.0,82.0,92.0,75.0,65.0,48.0,30.0,73.0,58.0,33.0,27.0
7,Jude Bellingham,1817,1,58.0,68.0,42.0,71.0,58.0,74.0,56.0,45.0,66.0,73.0,78.0,77.0,74.0,73.0,64.0,58.0,61.0,67.0,56.0,67.0,51.0
8,Francisco Mota Castro Trincão,1911,0,69.0,73.0,66.0,71.0,66.0,85.0,84.0,56.0,67.0,83.0,81.0,78.0,83.0,77.0,74.0,53.0,32.0,74.0,67.0,34.0,32.0
9,Bouna Sarr,2088,1,77.0,67.0,67.0,78.0,61.0,78.0,70.0,44.0,72.0,74.0,81.0,81.0,74.0,88.0,70.0,76.0,72.0,78.0,68.0,71.0,72.0
10,Mason Greenwood,1911,0,70.0,79.0,67.0,73.0,64.0,79.0,70.0,65.0,69.0,77.0,79.0,82.0,77.0,70.0,80.0,58.0,34.0,77.0,64.0,39.0,33.0
11,Anssumane Fati,1805,1,69.0,75.0,58.0,72.0,59.0,79.0,64.0,45.0,69.0,77.0,89.0,87.0,89.0,64.0,70.0,48.0,19.0,68.0,74.0,32.0,28.0
12,Dominic Calvert-Lewin,1934,1,65.0,78.0,85.0,70.0,73.0,76.0,64.0,54.0,44.0,76.0,79.0,87.0,72.0,79.0,65.0,75.0,34.0,82.0,77.0,31.0,23.0
13,Xavi Simons,1656,1,36.0,53.0,40.0,67.0,33.0,68.0,60.0,45.0,65.0,67.0,60.0,63.0,74.0,60.0,55.0,59.0,64.0,67.0,43.0,64.0,52.0
14,Ozan Kabak,1731,1,26.0,35.0,77.0,73.0,28.0,70.0,32.0,31.0,69.0,74.0,69.0,75.0,64.0,65.0,25.0,78.0,71.0,30.0,47.0,80.0,76.0
15,Marc Roca Junqué,1922,0,66.0,59.0,42.0,82.0,44.0,72.0,66.0,52.0,87.0,77.0,57.0,61.0,66.0,72.0,69.0,71.0,75.0,60.0,72.0,73.0,71.0
16,Rayan Cherki,1597,0,56.0,61.0,28.0,67.0,51.0,75.0,66.0,70.0,53.0,73.0,71.0,71.0,76.0,56.0,57.0,57.0,21.0,62.0,61.0,20.0,15.0
17,Sergiño Dest,1950,1,72.0,56.0,57.0,76.0,44.0,80.0,72.0,38.0,65.0,77.0,88.0,86.0,87.0,78.0,62.0,68.0,66.0,72.0,39.0,70.0,68.0
18,Emerson Leite De Souza,2012,1,75.0,57.0,68.0,77.0,44.0,72.0,73.0,47.0,65.0,73.0,79.0,80.0,74.0,79.0,62.0,79.0,72.0,71.0,48.0,78.0,79.0
19,Jérémy Doku,1697,1,64.0,61.0,37.0,66.0,49.0,80.0,58.0,38.0,42.0,73.0,96.0,91.0,95.0,63.0,53.0,58.0,18.0,58.0,48.0,28.0,25.0
20,Danilo Luís Hélio Pereira,2024,1,58.0,57.0,76.0,83.0,55.0,75.0,54.0,53.0,80.0,78.0,63.0,68.0,57.0,84.0,68.0,82.0,81.0,71.0,57.0,83.0,68.0
21,Alphonso Davies,2111,0,73.0,67.0,64.0,77.0,59.0,85.0,67.0,44.0,58.0,79.0,96.0,96.0,85.0,79.0,63.0,77.0,76.0,75.0,60.0,77.0,79.0
22,Crysencio Summerville,1611,1,59.0,57.0,41.0,61.0,51.0,72.0,60.0,61.0,47.0,66.0,94.0,89.0,91.0,68.0,59.0,36.0,17.0,61.0,59.0,24.0,26.0
23,Eduardo Camavinga,2043,0,69.0,58.0,64.0,79.0,51.0,77.0,72.0,59.0,75.0,78.0,72.0,70.0,77.0,79.0,63.0,74.0,75.0,72.0,59.0,78.0,76.0
24,Arthur Mendonça Cabral,1747,1,50.0,76.0,75.0,73.0,76.0,73.0,61.0,30.0,35.0,75.0,72.0,71.0,68.0,70.0,69.0,57.0,24.0,75.0,58.0,24.0,25.0
25,Moise Kean,1728,1,42.0,76.0,72.0,59.0,72.0,78.0,66.0,43.0,38.0,76.0,77.0,79.0,74.0,65.0,60.0,45.0,21.0,78.0,65.0,28.0,16.0
26,Antony Matheus dos Santos,1924,0,64.0,70.0,45.0,73.0,64.0,84.0,74.0,75.0,62.0,84.0,92.0,89.0,92.0,77.0,70.0,66.0,39.0,75.0,65.0,37.0,21.0
27,Sandro Tonali,2084,1,70.0,60.0,69.0,82.0,60.0,76.0,75.0,75.0,81.0,79.0,83.0,78.0,74.0,74.0,70.0,76.0,74.0,60.0,64.0,74.0,72.0
28,Jens Petter Hauge,1842,1,51.26250815749402,47.51451014619245,49.0,60.132580099339556,44.687996517575364,57.38789628499837,49.22930351229575,44.14040114613181,54.02336575558333,60.21471053636711,65.14803493449782,85.0,80.0,63.02548676438416,48.72942840050035,45.0,39.0,51.943673469387754,65.0,47.97143012329585,45.84790419161676
29,Martin Ødegaard,2099,0,84.0,74.0,52.0,83.0,73.0,86.0,81.0,83.0,81.0,85.0,80.0,77.0,85.0,80.0,78.0,64.0,65.0,77.0,63.0,49.0,51.0
30,Bukayo Saka,1902,0,79.0,60.0,45.0,74.0,55.0,78.0,72.0,48.0,63.0,76.0,86.0,82.0,83.0,76.0,60.0,64.0,53.0,68.0,58.0,58.0,62.0
